| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
| 194 | 4.369 | 368.842 |  |
| 195 | 4.422 |  |  |
| 196 | 4.476 |  |  |
| 197 | 4.532 |  |  |
| 198 | 4.588 |  |  |
| 199 | 4.645 |  |  |
| 200 | 4.704 |  |  |
| 201 | 4.763 |  |  |
| 202 | 4.822 |  |  |
| 203 | 4.883 |  |  |
| 204 | 4.944 |  |  |
| 205 | 5.005 |  |  |
| 206 | 5.067 |  |  |
| 207 | 5.131 |  |  |
| 208 | 5.196 |  |  |
| 209 | 5.263 |  |  |
| 210 | 5.332 |  |  |
| 211 | 5.401 |  |  |
| 212 | 5.472 |  |  |
| 213 | 5.545 |  |  |
| 214 | 5.618 |  |  |
| 215 | 5.692 |  |  |
| 216 | 5.767 |  |  |
| 217 | 5.843 |  |  |
| 218 | 5.919 |  |  |
| 219 | 5.997 |  |  |
| 220 | 6.078 |  |  |
| 221 | 6.162 |  |  |
| 222 | 6.248 |  |  |
| 223 | 6.337 |  |  |
| 224 | 6.426 |  |  |
| 225 | 6.515 |  |  |
| 226 | 6.605 |  |  |
| 227 | 6.695 |  |  |
| 228 | 6.786 |  |  |
| 229 | 6.877 |  |  |
| 230 | 6.971 |  |  |
| 231 | 7.065 |  |  |
| 232 | 7.161 |  |  |
| 233 | 7.257 |  |  |
| 234 | 7.355 |  |  |
| 235 | 7.454 |  |  |
| 236 | 7.554 |  |  |
| 237 | 7.659 |  |  |
| 238 | 7.765 |  |  |
| 239 | 7.871 |  |  |
| 240 | 7.981 |  |  |
| 241 | 8.091 |  |  |
| 242 | 8.206 |  |  |
| 243 | 8.321 |  |  |
| 244 | 8.44 |  |  |
| 245 | 8.559 |  |  |
| 246 | 8.684 |  |  |
| 247 | 8.844 |  |  |
| 248 | 9.005 |  |  |
| 249 | 9.17 |  |  |
| 250 | 9.336 |  |  |
| 251 | 9.502 |  |  |
| 252 | 9.684 |  |  |
| 253 | 9.893 |  |  |
| 254 | 10.108 |  |  |
| 255 | 10.332 |  |  |
| 256 | 10.561 |  |  |
| 257 | 10.79 |  |  |
| 258 | 11.033 |  |  |
| 259 | 11.281 |  |  |
| 260 | 11.532 |  |  |
| 261 | 11.793 |  |  |
| 262 | 12.084 |  |  |
| 263 | 12.948 |  |  |
| 264 | 13.882 |  |  |
| 265 | 15.093 |  |  |
| 266 | 16.361 |  |  |
| 267 | 17.637 |  |  |
| 268 | 19.364 |  |  |
| 269 | 33.146 |  |  |
| 270 | 47.665 |  |  |
| 271 | 62.817 |  |  |
| 272 | 78.259 |  |  |
| 273 | 94.498 |  |  |
| 274 | 112.84 |  |  |
